player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Orlando Gill,Goalkeeper,Paraguay,Paraguay,0,0,450,7.22,0.0,0.0,1.444
Orlando Mosquera,Goalkeeper,Panama,Panama,0,0,270,6.65,0.0,0.0,1.33
Oscar Bobb,Forward,Norway,Norway,0,0,191,6.66,0.0,0.0,1.332
Oston Urunov,Forward,Uzbekistan,Uzbekistan,0,0,63,6.31,0.0,0.0,1.262
Oswin Reagan Appollis,Forward,South Africa,South Africa,0,0,255,6.79,0.0,0.0,1.358
Otabek Shukurov,Midfielder,Uzbekistan,Uzbekistan,0,0,239,6.6,0.0,0.0,1.32
Oumar Diakité,Forward,Ivory Coast,Ivory Coast,0,0,26,3.18,0.0,0.0,0.6360000000000001
Ousmane Dembélé,Forward,France,France,6,2,596,7.74,0.9060402684563759,0.30201342281879195,2.0916241610738258
Ousmane Diomande,Defender,Ivory Coast,Ivory Coast,0,0,90,7.02,0.0,0.0,1.404
Oussama Benbot,Goalkeeper,Algeria,Algeria,0,0,90,5.36,0.0,0.0,1.072
Ozan Kabak,Defender,Turkey,Turkey,0,0,90,6.81,0.0,0.0,1.362
Pape Gueye,Midfielder,Senegal,France,2,1,236,7.16,0.7627118644067796,0.3813559322033898,1.927762711864407
Pape Matar Sarr,Midfielder,Senegal,Senegal,0,0,35,6.6,0.0,0.0,1.32
Pascal Groß,Midfielder,Germany,Germany,0,0,17,6.8,0.0,0.0,1.36
Pathé Ciss,Midfielder,Senegal,Senegal,0,0,151,5.17,0.0,0.0,1.034
Patrick Beach,Goalkeeper,Australia,Australia,0,0,389,7.04,0.0,0.0,1.4080000000000001
Patrick Berg,Midfielder,Norway,Norway,0,2,413,6.92,0.0,0.43583535108958843,1.5147506053268767
Patrick Wimmer,Forward,Austria,Austria,0,0,19,6.38,0.0,0.0,1.276
Patrik Schick,Forward,Czech Republic,Czech Republic,0,0,180,6.42,0.0,0.0,1.284
Pau Cubarsí,Defender,Spain,Spain,0,0,720,7.3,0.0,0.0,1.46
Paul Brian Rodríguez Bravo,Forward,Uruguay,Uruguay,0,0,38,6.64,0.0,0.0,1.328
Paul Michael Junior Okon-Engstler,Midfielder,Australia,Italy,0,1,167,6.93,0.0,0.5389221556886228,1.547676646706587
Paul Wanner,Midfielder,Austria,Austria,0,0,233,6.27,0.0,0.0,1.254
Pavel Šulc,Midfielder,Czech Republic,Czech Republic,0,0,189,6.43,0.0,0.0,1.286
Pedri,Midfielder,Spain,Spain,0,0,470,7.19,0.0,0.0,1.4380000000000002
Pedro Miguel Correia,Defender,Qatar,Qatar,0,0,270,6.6,0.0,0.0,1.32
Pedro Neto,Forward,Portugal,Portugal,0,1,353,6.66,0.0,0.254957507082153,1.4084872521246459
Pedro Porro,Defender,Spain,Spain,2,0,534,7.65,0.33707865168539325,0.0,1.6985393258426968
Pedro Vite,Midfielder,Ecuador,Ecuador,0,1,360,7.4,0.0,0.25,1.5550000000000002
Pervis Estupiñán,Defender,Ecuador,Ecuador,0,0,89,6.63,0.0,0.0,1.326
Petar Musa,Forward,Croatia,Croatia,1,0,112,6.87,0.8035714285714286,0.0,1.7757857142857145
Petar Sučić,Midfielder,Croatia,Croatia,1,1,288,6.86,0.3125,0.3125,1.622
Philipp Lienhart,Defender,Austria,Austria,0,0,180,6.57,0.0,0.0,1.314
Philipp Mwene,Defender,Austria,Austria,0,0,149,6.49,0.0,0.0,1.298
Piero Hincapié,Defender,Ecuador,Ecuador,0,0,341,6.81,0.0,0.0,1.362
Prince Kwabena Adu,Forward,Ghana,Ghana,0,0,37,4.26,0.0,0.0,0.852
Promise Akinpelu,Forward,Canada,Canada,1,1,77,6.93,1.168831168831169,1.168831168831169,2.3210649350649355
Puma,Forward,Panama,Panama,0,0,235,6.36,0.0,0.0,1.2720000000000002
Quinten Maduro,Midfielder,Netherlands,Netherlands,0,0,24,6.49,0.0,0.0,1.298
Rafael Leão,Forward,Portugal,Portugal,1,1,155,6.99,0.5806451612903225,0.5806451612903225,1.862516129032258
Rafik Belghali,Defender,Algeria,Morocco,1,0,333,6.75,0.27027027027027023,0.0,1.4851351351351352
Rami Hisham Abdel Aziz Rabia,Defender,Egypt,Egypt,0,0,338,6.74,0.0,0.0,1.348
Ramin Rezaeian,Defender,Iran,Iran,2,1,270,7.46,0.6666666666666666,0.3333333333333333,1.9253333333333333
Ramiz Zerrouki,Midfielder,Algeria,Netherlands,0,0,112,6.43,0.0,0.0,1.286
Ramón Sosa Acosta,Forward,Paraguay,Paraguay,0,0,11,6.53,0.0,0.0,1.306
Ramy Bensebaini,Defender,Algeria,Algeria,0,0,360,6.71,0.0,0.0,1.342
Rani Khedira,Midfielder,Tunisia,Germany,0,0,150,4.04,0.0,0.0,0.808
Raphinha,Forward,Brazil,Brazil,0,0,130,6.53,0.0,0.0,1.306
Raúl Jiménez,Forward,Mexico,Mexico,3,0,320,7.19,0.84375,0.0,1.8598750000000002
Ray Kendry Páez Andrade,Midfielder,Ecuador,Ecuador,0,0,11,6.68,0.0,0.0,1.336
Rayan Aït Nouri,Defender,Algeria,France,0,0,284,6.73,0.0,0.0,1.346
Rayan Rocha,Forward,Brazil,Brazil,0,1,289,7.43,0.0,0.31141868512110726,1.5794256055363323
Rebin Ghareeb Solaka Adhamat,Defender,Iraq,Iraq,0,0,43,4.92,0.0,0.0,0.984
Redouane Halhal,Defender,Morocco,France,0,0,180,6.75,0.0,0.0,1.35
Reece James,Defender,England,England,0,0,288,6.83,0.0,0.0,1.366
Relebohile Ratomo,Forward,South Africa,South Africa,0,0,170,6.84,0.0,0.0,1.368
Remo Freuler,Midfielder,Switzerland,Switzerland,0,0,564,6.93,0.0,0.0,1.3860000000000001
Renato Palma Veiga,Defender,Portugal,Portugal,0,0,450,7.26,0.0,0.0,1.452
Ricardo Ade,Defender,Haiti,Haiti,0,0,270,6.85,0.0,0.0,1.37
Ricardo Pepi,Forward,USMNT,USA,0,0,202,5.35,0.0,0.0,1.07
Ricardo Rodríguez,Defender,Switzerland,Switzerland,0,1,520,7.02,0.0,0.17307692307692307,1.4559230769230769
Richard Rios Montoya,Midfielder,Colombia,Colombia,0,0,105,6.59,0.0,0.0,1.318
Richie Laryea,Defender,Canada,Canada,0,0,431,6.95,0.0,0.0,1.3900000000000001
Riechedly Bazoer,Defender,Curaçao,Netherlands,0,0,90,5.32,0.0,0.0,1.064
Ritsu Doan,Forward,Japan,Japan,0,1,282,6.63,0.0,0.3191489361702128,1.4217446808510639
Riyad Mahrez,Forward,Algeria,Algeria,2,2,263,7.3,0.6844106463878328,0.6844106463878328,2.0075285171102664
Roberto Carlos Alvarado Hernández,Forward,Mexico,Mexico,0,3,430,7.53,0.0,0.627906976744186,1.694372093023256
Roberto Lopes,Defender,Cape Verde Islands,Republic of Ireland,0,0,360,7.18,0.0,0.0,1.436
Robin Hranáč,Defender,Czech Republic,Czech Republic,0,0,270,6.26,0.0,0.0,1.252
Rodri,Midfielder,Spain,Spain,0,0,726,7.53,0.0,0.0,1.5060000000000002
Rodrigo Bentancur,Midfielder,Uruguay,Uruguay,0,0,270,7.19,0.0,0.0,1.4380000000000002
Rodrigo De Paul,Midfielder,Argentina,Argentina,0,1,495,6.93,0.0,0.18181818181818182,1.4405454545454546
Roger Ibanez da Silva,Defender,Brazil,Brazil,0,0,46,6.25,0.0,0.0,1.25
Romano Schmid,Midfielder,Austria,Austria,1,0,267,6.74,0.33707865168539325,0.0,1.5165393258426967
Romelu Lukaku,Forward,Belgium,Belgium,3,1,199,6.88,1.3567839195979898,0.4522613065326633,2.190070351758794
Ronwen Williams,Goalkeeper,South Africa,South Africa,0,0,360,6.95,0.0,0.0,1.3900000000000001
Roshon van Eijma,Defender,Curaçao,Curaçao,0,0,14,6.76,0.0,0.0,1.352
Ross Stewart,Forward,Scotland,Scotland,0,0,1,0.0,0.0,0.0,0.0
Rúben Dias,Defender,Portugal,Portugal,0,0,360,7.15,0.0,0.0,1.4300000000000002
Rúben Neves,Midfielder,Portugal,Portugal,0,0,55,6.58,0.0,0.0,1.316
Ruben Providence,Forward,Haiti,France,0,0,223,6.5,0.0,0.0,1.3
Ruben Vargas,Forward,Switzerland,Switzerland,2,1,224,7.06,0.8035714285714286,0.4017857142857143,1.9343214285714285
Rustamjon Ashurmatov,Defender,Uzbekistan,Uzbekistan,0,0,257,6.09,0.0,0.0,1.218
Ryan Cherki,Midfielder,France,France,0,0,125,5.63,0.0,0.0,1.1260000000000001
Ryan Christie,Midfielder,Scotland,Scotland,0,0,94,6.58,0.0,0.0,1.316
Ryan Gravenberch,Midfielder,Netherlands,Netherlands,0,2,347,6.87,0.0,0.5187319884726225,1.529619596541787
Ryan Isaac Mendes da Graça,Forward,Cape Verde Islands,Cape Verde,0,1,331,6.68,0.0,0.2719033232628399,1.4175709969788521
Ryan Thomas,Midfielder,New Zealand,New Zealand,0,0,82,6.41,0.0,0.0,1.282
Sadio Mané,Forward,Senegal,Senegal,0,1,364,7.18,0.0,0.24725274725274726,1.510175824175824
Saed Ahmad Salameh Al Rosan,Defender,Jordan,Jordan,0,0,9,6.14,0.0,0.0,1.228
Saeid Ezatolahi Afagh,Midfielder,Iran,Iran,0,0,265,7.07,0.0,0.0,1.4140000000000001
Saleem Obaid,Defender,Jordan,Jordan,0,0,18,1.84,0.0,0.0,0.36800000000000005
Saleh Hardani,Defender,Iran,Iran,0,0,90,6.69,0.0,0.0,1.338
Salem Mohammed Al Dawsari,Forward,Saudi Arabia,Saudi Arabia,0,0,246,6.39,0.0,0.0,1.278
Salih Özcan,Midfielder,Turkey,Germany,0,0,99,6.85,0.0,0.0,1.37
Saman Ghoddos,Midfielder,Iran,Iran,0,0,211,6.78,0.0,0.0,1.356
Samed Baždar,Forward,Bosnia and Herzegovina,Serbia,0,0,28,6.29,0.0,0.0,1.258
Samir Chergui,Defender,Algeria,France,0,0,19,6.21,0.0,0.0,1.242
Samir El Mourabet,Midfielder,Morocco,France,0,0,46,5.37,0.0,0.0,1.074
Samú Costa,Midfielder,Portugal,Portugal,0,0,20,6.73,0.0,0.0,1.346
Samuel Moutoussamy,Midfielder,Congo DR,Congo DR,0,0,333,6.64,0.0,0.0,1.328
Sander Berge,Midfielder,Norway,Norway,0,0,450,7.02,0.0,0.0,1.404
Santiago Arias,Defender,Colombia,Colombia,0,0,87,7.44,0.0,0.0,1.4880000000000002
Santiago Giménez,Forward,Mexico,Mexico,0,0,82,6.41,0.0,0.0,1.282
Sarpeet Singh,Midfielder,New Zealand,New Zealand,0,0,212,6.51,0.0,0.0,1.302
Sasa Kalajdzic,Forward,Austria,Austria,1,0,76,6.7,1.1842105263157894,0.0,1.9321052631578948
Saud Abdullah Abdul Hamid,Defender,Saudi Arabia,Saudi Arabia,0,0,270,6.78,0.0,0.0,1.356
Scott McKenna,Defender,Scotland,Scotland,0,0,90,6.03,0.0,0.0,1.2060000000000002
Scott McTominay,Midfielder,Scotland,Scotland,0,0,270,6.7,0.0,0.0,1.34
Sead Kolašinac,Defender,Bosnia and Herzegovina,Bosnia and Herzegovina,0,1,339,6.83,0.0,0.26548672566371684,1.445646017699115
Sebastian Berhalter,Midfielder,USMNT,USA,1,1,184,5.77,0.48913043478260876,0.48913043478260876,1.5453043478260868
Sebastián Enzo Cáceres Ramos,Defender,Uruguay,Uruguay,0,0,270,6.56,0.0,0.0,1.312
Sebastian Tounekti,Forward,Tunisia,Norway,0,0,82,4.15,0.0,0.0,0.8300000000000001
Seko Fofana,Midfielder,Ivory Coast,Ivory Coast,0,0,92,6.61,0.0,0.0,1.322
Senne Lammens,Goalkeeper,Belgium,Belgium,0,0,19,5.93,0.0,0.0,1.186
Sergino Dest,Defender,USMNT,USA,0,0,299,6.71,0.0,0.0,1.342
Sergio Rochet Álvarez,Goalkeeper,Uruguay,Uruguay,0,0,44,6.5,0.0,0.0,1.3
Seung-Gyu Kim,Goalkeeper,South Korea,South Korea,0,0,270,6.54,0.0,0.0,1.308
Seung-Ho Paik,Midfielder,South Korea,South Korea,0,0,207,6.54,0.0,0.0,1.308
Shahriar Moghanlou,Forward,Iran,Iran,0,1,87,6.78,0.0,1.0344827586206897,1.666344827586207
Sherel Floranus,Defender,Curaçao,Netherlands,0,0,270,6.6,0.0,0.0,1.32
Sherzod Nasrullayev,Defender,Uzbekistan,Uzbekistan,0,0,182,6.34,0.0,0.0,1.268
Shogo Taniguchi,Defender,Japan,Japan,0,0,231,6.6,0.0,0.0,1.32
Shoja Khalilzadeh,Defender,Iran,Iran,0,0,270,6.98,0.0,0.0,1.3960000000000001
Shuto Machino,Forward,Japan,Japan,0,0,12,6.5,0.0,0.0,1.3
Sidny Lopes Cabral,Defender,Cape Verde Islands,Netherlands,1,0,256,6.97,0.3515625,0.0,1.5697812500000001
Silvan Widmer,Defender,Switzerland,Switzerland,0,0,112,5.13,0.0,0.0,1.026
Simon Adingra,Forward,Ivory Coast,Ivory Coast,0,0,15,6.46,0.0,0.0,1.292
Simon Banza,Forward,Congo DR,France,0,0,38,6.54,0.0,0.0,1.308
Sofyan Amrabat,Midfielder,Morocco,Morocco,0,0,145,6.56,0.0,0.0,1.312
Sondre Klingen Langås,Defender,Norway,Norway,0,0,24,6.19,0.0,0.0,1.2380000000000002
Sontje Hansen,Forward,Curaçao,Netherlands,0,0,46,6.74,0.0,0.0,1.348
Soufiane Rahimi,Forward,Morocco,Morocco,2,1,127,5.8,1.4173228346456692,0.7086614173228346,2.081259842519685
Sphephelo Sithole,Midfielder,South Africa,South Africa,0,0,229,6.46,0.0,0.0,1.292
Stefan Posch,Defender,Austria,Austria,0,0,333,6.24,0.0,0.0,1.2480000000000002
Štěpán Chaloupek,Defender,Czech Republic,Czech Republic,0,0,90,6.14,0.0,0.0,1.228
Stephen Eustáquio,Midfielder,Canada,Canada,1,0,392,7.54,0.2295918367346939,0.0,1.622795918367347
Steve Kapuadi,Defender,Congo DR,France,0,0,180,6.6,0.0,0.0,1.32
Steven Moreira,Defender,Cape Verde Islands,France,0,0,270,4.92,0.0,0.0,0.984
Stjepan Radeljić,Defender,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,180,6.53,0.0,0.0,1.306
Sultan Hussain Al-Brake,Defender,Qatar,Qatar,0,0,140,6.15,0.0,0.0,1.2300000000000002
Sultan Madash,Forward,Saudi Arabia,Saudi Arabia,0,0,66,6.85,0.0,0.0,1.37
Tae-Seok Lee,Defender,South Korea,South Korea,0,0,115,6.96,0.0,0.0,1.3920000000000001
Taha Abdi Ali,Forward,Sweden,Sweden,0,0,35,6.47,0.0,0.0,1.294
Tahith Chong,Midfielder,Curaçao,Netherlands,0,0,249,6.81,0.0,0.0,1.362
Tajon Buchanan,Forward,Canada,Canada,0,0,380,6.53,0.0,0.0,1.306
Takefusa Kubo,Forward,Japan,Japan,0,1,75,6.89,0.0,1.2,1.738
Takehiro Tomiyasu,Defender,Japan,Japan,0,0,184,6.95,0.0,0.0,1.3900000000000001
Tani Oluwaseyi,Forward,Canada,Nigeria,0,0,260,6.7,0.0,0.0,1.34
Tarik Muharemovic,Defender,Bosnia and Herzegovina,Slovenia,0,0,260,6.84,0.0,0.0,1.368
Teboho Mokoena,Midfielder,South Africa,South Africa,1,0,270,7.32,0.3333333333333333,0.0,1.630666666666667
Telmo Emanuel Gomes Arcanjo,Forward,Cape Verde Islands,Cape Verde,0,0,57,6.69,0.0,0.0,1.338
Tete Yengi,Forward,Australia,Australia,0,0,22,6.67,0.0,0.0,1.334
Teun Koopmeiners,Midfielder,Netherlands,Netherlands,0,0,88,6.61,0.0,0.0,1.322
Thalente Mbatha,Midfielder,South Africa,South Africa,0,0,258,6.63,0.0,0.0,1.326
Thapelo Maseko,Forward,South Africa,South Africa,1,0,245,6.85,0.36734693877551017,0.0,1.5536734693877552
Thelo Aasgaard,Midfielder,Norway,Norway,1,0,90,7.25,1.0,0.0,1.9500000000000002
Themba Zwane,Midfielder,South Africa,South Africa,0,0,29,4.66,0.0,0.0,0.932
Théo Bongonda,Forward,Congo DR,Congo DR,0,0,32,6.44,0.0,0.0,1.2880000000000003
Theo Hernández,Defender,France,France,0,0,256,6.44,0.0,0.0,1.2880000000000003
Thiago Almada,Forward,Argentina,Argentina,0,0,211,6.79,0.0,0.0,1.358
Thibaut Courtois,Goalkeeper,Belgium,Belgium,0,0,521,6.87,0.0,0.0,1.374
Thomas Meunier,Defender,Belgium,Belgium,0,1,160,6.78,0.0,0.5625,1.52475
Thomas Partey,Midfielder,Ghana,Ghana,0,0,270,6.89,0.0,0.0,1.3780000000000001
Tijani Reijnders,Midfielder,Netherlands,Netherlands,0,1,201,6.9,0.0,0.44776119402985076,1.5143283582089553
Tim Ream,Defender,USMNT,USA,0,0,360,6.72,0.0,0.0,1.344
Timothy Castagne,Defender,Belgium,Belgium,0,1,448,6.97,0.0,0.20089285714285715,1.4542678571428573
Timothy John Payne,Defender,New Zealand,New Zealand,0,1,227,6.36,0.0,0.39647577092511016,1.3909427312775333
Timothy Weah,Midfielder,USMNT,USA,0,0,76,6.38,0.0,0.0,1.276
Tomas Abdiel Rodríguez Mena,Forward,Panama,Panama,0,0,46,3.35,0.0,0.0,0.67
Tomás Araújo,Defender,Portugal,Portugal,0,0,90,6.93,0.0,0.0,1.3860000000000001
Tomáš Chorý,Forward,Czech Republic,Czech Republic,0,0,29,3.27,0.0,0.0,0.654
Tomáš Holeš,Defender,Czech Republic,Czech Republic,0,0,154,6.48,0.0,0.0,1.2960000000000003
Tomáš Souček,Midfielder,Czech Republic,Czech Republic,0,0,136,6.49,0.0,0.0,1.298
Torbjørn Heggem,Defender,Norway,Norway,0,0,445,6.82,0.0,0.0,1.364
Tshepang Moremi,Forward,South Africa,South Africa,0,1,32,3.5,0.0,2.8125,1.5437500000000002
Tsuyoshi Watanabe,Defender,Japan,Japan,0,0,90,6.69,0.0,0.0,1.338
Tyler Adams,Midfielder,USMNT,USA,0,0,342,6.71,0.0,0.0,1.342
Tyler Bindon,Defender,New Zealand,USA,0,0,95,4.22,0.0,0.0,0.844
Tyrese Noslin,Midfielder,Curaçao,Netherlands,0,0,13,6.79,0.0,0.0,1.358
Uğurcan Çakır,Goalkeeper,Turkey,Turkey,0,0,270,6.71,0.0,0.0,1.342
Unai Simón,Goalkeeper,Spain,Spain,0,0,720,6.92,0.0,0.0,1.3840000000000001
Utkir Yusupov,Goalkeeper,Uzbekistan,Uzbekistan,0,0,90,6.05,0.0,0.0,1.21
Valentín Barco,Midfielder,Argentina,Argentina,0,0,19,6.64,0.0,0.0,1.328
Víctor Gustavo Velázquez Ramos,Defender,Paraguay,Paraguay,0,0,213,6.59,0.0,0.0,1.318
Victor Lindelöf,Defender,Sweden,Sweden,0,0,357,6.34,0.0,0.0,1.268
Viktor Gyökeres,Forward,Sweden,Sweden,1,2,360,7.24,0.25,0.5,1.7230000000000003
Vinicius Junior,Forward,Brazil,Brazil,4,1,441,7.58,0.8163265306122448,0.2040816326530612,1.9853877551020407
Virgil van Dijk,Defender,Netherlands,Netherlands,1,1,360,7.28,0.25,0.25,1.6560000000000001
Vitinha,Midfielder,Portugal,Portugal,0,0,381,7.08,0.0,0.0,1.4160000000000001
Vladimír Coufal,Defender,Czech Republic,Czech Republic,0,1,270,6.85,0.0,0.3333333333333333,1.4700000000000002
Vladimír Darida,Midfielder,Czech Republic,Czech Republic,0,0,55,6.78,0.0,0.0,1.356
Wagner Fabrício Cardoso Pina,Defender,Cape Verde Islands,Portugal,0,0,90,7.05,0.0,0.0,1.4100000000000001
Waldemar Anton,Defender,Germany,Germany,0,0,18,6.79,0.0,0.0,1.358
Warren Zaïre-Emery,Midfielder,France,France,0,0,109,6.4,0.0,0.0,1.2800000000000002
Weston McKennie,Midfielder,USMNT,USA,0,0,446,6.89,0.0,0.0,1.3780000000000001
Wilfried Singo,Defender,Ivory Coast,Ivory Coast,0,1,172,7.32,0.0,0.5232558139534883,1.6209767441860468
William Saliba,Defender,France,France,0,0,480,6.86,0.0,0.0,1.372
Willian Pacho,Defender,Ecuador,Ecuador,0,0,360,6.95,0.0,0.0,1.3900000000000001
Willy Afonso Semedo Johnson,Forward,Cape Verde Islands,France,0,0,100,6.34,0.0,0.0,1.268
Wilson Isidor,Forward,Haiti,France,1,0,186,6.72,0.48387096774193544,0.0,1.5859354838709678
Wout Weghorst,Forward,Netherlands,Netherlands,0,0,19,6.65,0.0,0.0,1.33
Xaver Schlager,Midfielder,Austria,Austria,0,1,241,6.53,0.0,0.37344398340248963,1.418033195020747
Yahia Fofana,Goalkeeper,Ivory Coast,France,0,0,360,6.82,0.0,0.0,1.364
Yaimar Abel Medina Ortiz,Defender,Ecuador,Ecuador,0,0,44,6.54,0.0,0.0,1.308
Yan Diomande,Forward,Ivory Coast,Ivory Coast,0,1,332,7.41,0.0,0.2710843373493976,1.5633253012048194
Yan Valery,Defender,Tunisia,Tunisia,0,0,252,6.19,0.0,0.0,1.2380000000000002
Yasin Ayari,Midfielder,Sweden,Sweden,2,0,341,7.13,0.5278592375366569,0.0,1.6899296187683286
Yasser Ahmed Ibrahim El Hanafi,Defender,Egypt,Egypt,1,0,436,6.85,0.20642201834862386,0.0,1.473211009174312
Yassin Fortune,Forward,Haiti,France,0,0,5,0.0,0.0,0.0,0.0
Yassine Bounou,Goalkeeper,Morocco,Morocco,0,0,540,6.84,0.0,0.0,1.368
Yazan Abo Alarab,Defender,Jordan,Jordan,0,0,270,6.45,0.0,0.0,1.29
Yazeed Moien Hasan Abu laila,Goalkeeper,Jordan,Jordan,0,0,270,6.48,0.0,0.0,1.2960000000000003
Yeremy Pino,Forward,Spain,Spain,0,0,68,6.28,0.0,0.0,1.2560000000000002
Yoane Wissa,Forward,Congo DR,Congo DR,3,0,360,7.24,0.75,0.0,1.8230000000000002
Young-Woo Seol,Defender,South Korea,South Korea,0,0,251,6.76,0.0,0.0,1.352
Youri Tielemans,Midfielder,Belgium,Belgium,2,0,445,7.55,0.4044943820224719,0.0,1.712247191011236
Youssef Abdel Razaq Youssef,Forward,Qatar,Qatar,0,0,100,6.62,0.0,0.0,1.324
Youssef Amyn,Forward,Iraq,Germany,0,0,30,6.36,0.0,0.0,1.2720000000000002
Yuito Suzuki,Forward,Japan,Japan,0,0,11,6.51,0.0,0.0,1.302
Yukinari Sugawara,Defender,Japan,Japan,0,0,145,6.64,0.0,0.0,1.328
Yunus Akgün,Forward,Turkey,Turkey,0,0,88,6.47,0.0,0.0,1.294
Yuto Nagatomo,Defender,Japan,Japan,0,0,15,6.66,0.0,0.0,1.332
Zaid Ismael Khaleel Al Dulaimi,Midfielder,Iraq,Iraq,0,0,119,6.55,0.0,0.0,1.31
Zaid Tahseen Abd Zaid Hantoosh,Defender,Iraq,Iraq,0,0,150,5.97,0.0,0.0,1.194
Zakaria El Ouahdi,Defender,Morocco,Belgium,0,0,16,6.42,0.0,0.0,1.284
Zeki Amdouni,Forward,Switzerland,Switzerland,0,0,9,6.51,0.0,0.0,1.302
Zidane Iqbal,Midfielder,Iraq,Iraq,0,0,188,6.53,0.0,0.0,1.306
Zineddine Belaïd,Defender,Algeria,Algeria,0,0,23,6.64,0.0,0.0,1.328
Zion Suzuki,Goalkeeper,Japan,Japan,0,0,360,7.04,0.0,0.0,1.4080000000000001
Zizo,Forward,Egypt,Egypt,0,0,52,4.93,0.0,0.0,0.986
Ørjan Nyland,Goalkeeper,Norway,Norway,0,0,450,6.94,0.0,0.0,1.3880000000000001
