player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Lisandro Martínez,Defender,Argentina,Argentina,1,1,566,7.18,0.15901060070671377,0.15901060070671377,1.563208480565371
Livano Comenencia,Defender,Curaçao,Netherlands,1,0,235,6.87,0.3829787234042553,0.0,1.5654893617021277
Louicius Don Deedson,Forward,Haiti,Haiti,0,0,112,6.43,0.0,0.0,1.286
Luc De Fougerolles,Defender,Canada,England,0,0,372,6.82,0.0,0.0,1.364
Luca Antony Jaquez,Defender,Switzerland,Switzerland,0,0,78,3.35,0.0,0.0,0.67
Luca Zinedine Zidane,Goalkeeper,Algeria,France,0,0,270,6.45,0.0,0.0,1.29
Lucas Bergvall,Midfielder,Sweden,Sweden,0,1,178,6.62,0.0,0.5056179775280899,1.475685393258427
Lucas Digne,Defender,France,France,0,0,464,6.73,0.0,0.0,1.346
Lucas Herrington,Defender,Australia,Australia,0,0,180,6.71,0.0,0.0,1.342
Lucas Michel Mendes,Defender,Qatar,Brazil,0,0,3,0.0,0.0,0.0,0.0
Lucas Paquetá,Midfielder,Brazil,Brazil,0,1,237,7.35,0.0,0.379746835443038,1.5839240506329113
Luis Díaz,Forward,Colombia,Colombia,1,1,450,7.06,0.2,0.2,1.5719999999999998
Luis Francisco Romo Barrón,Midfielder,Mexico,Mexico,1,1,268,7.0,0.33582089552238803,0.33582089552238803,1.6686567164179107
Luis Gerardo Chávez Magallón,Midfielder,Mexico,Mexico,0,0,24,6.72,0.0,0.0,1.344
Luis Suárez,Forward,Colombia,Colombia,0,1,332,6.71,0.0,0.2710843373493976,1.4233253012048193
Luiz Henrique,Forward,Brazil,Brazil,0,0,28,6.73,0.0,0.0,1.346
Luka Modrić,Midfielder,Croatia,Croatia,0,1,319,7.01,0.0,0.2821316614420063,1.4866394984326021
Luka Sučić,Midfielder,Croatia,Croatia,0,0,18,6.44,0.0,0.0,1.2880000000000003
Luka Vušković,Defender,Croatia,Croatia,0,0,66,6.24,0.0,0.0,1.2480000000000002
Lukáš Červ,Midfielder,Czech Republic,Czech Republic,0,0,165,6.84,0.0,0.0,1.368
Lukáš Provod,Forward,Czech Republic,Czech Republic,0,0,121,6.61,0.0,0.0,1.322
Lyle Foster,Forward,South Africa,South Africa,0,0,56,6.32,0.0,0.0,1.2640000000000002
Lyndon Dykes,Forward,Scotland,Australia,0,0,34,6.57,0.0,0.0,1.314
Maghnes Akliouche,Forward,France,France,0,0,7,6.57,0.0,0.0,1.314
Mahmoud Nayef Ahmad Al Mardi,Forward,Jordan,Jordan,0,0,129,6.66,0.0,0.0,1.332
Mahmoud Saber,Midfielder,Egypt,Egypt,1,0,16,3.69,5.625,0.0,3.5505
Mahmoud Trezeguet,Forward,Egypt,Egypt,1,1,131,6.98,0.6870229007633588,0.6870229007633588,1.9456183206106872
Mahmud Ibrahim Abunad,Goalkeeper,Qatar,Qatar,0,0,270,6.2,0.0,0.0,1.2400000000000002
Malick Thiaw,Defender,Germany,Finland,0,0,10,6.5,0.0,0.0,1.3
Malik Tillman,Midfielder,USMNT,USA,2,1,356,5.8,0.5056179775280899,0.25280898876404495,1.4886516853932583
Malo Gusto,Defender,France,France,0,0,118,3.77,0.0,0.0,0.754
Manaf Younnes,Defender,Iraq,Iraq,0,0,74,6.2,0.0,0.0,1.2400000000000002
Manuel Akanji,Defender,Switzerland,Switzerland,0,0,540,7.03,0.0,0.0,1.4060000000000001
Manuel Neuer,Goalkeeper,Germany,Germany,0,0,360,6.59,0.0,0.0,1.318
Manuel Ugarte,Midfielder,Uruguay,Uruguay,0,0,187,6.72,0.0,0.0,1.344
